Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Names,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage,Data_Source
ALP,SAAS,,B2B,"AI, SaaS",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Advertima,B2B,,B2B,,2026.0,,,VC Fund,Kundinnen und Kunden in Echtzeit analysiert,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Agora,B2B,,B2B,,2026.0,2.2M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
Aiving,B2B,,B2B,,2026.0,2.0M CHF,,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
Alithea,B2B,,B2B,,2026.0,6.9M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
Alithea,HEALTHCARE,,B2B,"Biotech, IoT, AR/VR",2026.0,6.9M CHF,Seed,Accelerator/Grant,,Switzerland,2026.0,Seed,,,Active,Venturekick
Alpi,FINTECH,,Unknown,"AI, Robotics",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Amazon,B2B,,B2B,,2026.0,22.0M USD,,VC Fund,,Switzerland,2026.0,Series B,,,Active,Startupticker
Audiospace,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Augetik,INDUSTRIALS,,Unknown,Manufacturing,2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Auterion,B2B,,B2B,,2026.0,130.0M USD,,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Awards,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Axmed,B2B,,B2B,,2026.0,6.0M USD,Seed/Series A,VC Fund,Founderful Ventures,Switzerland,2026.0,Series A,,,Active,Startupticker
BESS,FINTECH,,Unknown,,2026.0,60.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Babylat,HEALTHCARE,,Unknown,,2026.0,0.8M CHF,,VC Fund,,Switzerland,2026.0,Pre-Seed,,,Active,Startupticker
Baio,SAAS,,B2B,"AI, SaaS, AR/VR",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Baselbieter,B2B,,B2B,,2026.0,200.0M,,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Baxiva,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,CEO Dr,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Baxiva,MOBILITY,,Unknown,Mobility,2026.0,150.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Seed,,,Active,Venturekick
Bayer,B2B,,B2B,,2026.0,,,VC Fund,Resmonics,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Belgiumbased,B2B,,B2B,,2026.0,,,VC Fund,Windsor,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Besso,B2B,,B2B,,2026.0,,,VC Fund,Markt zu Markt,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Billion,B2B,,B2B,AR/VR,2026.0,10.0B CHF,Undisclosed,Accelerator/Grant,,Switzerland,2026.0,Growth,,,Active,Venturekick
Billion,B2B,,B2B,AR/VR,2026.0,1.25B CHF,Venture Kick Grant,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Binabik,AI/ML,,Unknown,AI,2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Blockstrom,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Boring,B2B,,B2B,,2026.0,,,VC Fund,CEO Eugenio Valli,Switzerland,2026.0,Early Stage,,,Active,Startupticker
BrainChip,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
CHD,HEALTHCARE,,Unknown,,2026.0,1.0M EUR,,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
CHF,B2B,,B2B,,2026.0,1.0M CHF,Seed/Series A,VC Fund,Innovaud,Switzerland,2026.0,Seed,,,Active,Startupticker
CHF,B2B,,B2B,,2026.0,13.4M EUR,Seed/Series A,VC Fund,Inter IKEA Group,Switzerland,2026.0,Series B,,,Active,Startupticker
CHF,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
CHF,B2B,,B2B,,2026.0,1.2M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
CHF,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
CHF,B2B,,B2B,,2026.0,3.4M CHF,Seed/Series A,VC Fund,"Vsquared Ventures, Schoeler",Switzerland,2026.0,Series A,,,Active,Startupticker
CHF,HEALTHCARE,,Unknown,,2026.0,10.0M CHF,Seed/Series A,VC Fund,LifeSpan Vision Ventures,Switzerland,2026.0,Series B,,,Active,Startupticker
CHF,B2B,,B2B,,2026.0,55.0M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Carewell,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,FIT,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Cash,B2B,,B2B,,2026.0,,,VC Fund,Switzerland,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Chain4Travel,B2B,,B2B,,2026.0,,,VC Fund,Infrastruktur und Anwendung,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Chiral,B2B,,B2B,,2026.0,12.0M USD,Seed/Series A,VC Fund,"Crane Venture Partners, Quantonation",Switzerland,2026.0,Series B,,,Active,Startupticker
Chiral,AI/ML,,Unknown,AI,2026.0,12.0M USD,Undisclosed,Accelerator/Grant,,Switzerland,2026.0,Series C,,,Active,Venturekick
Circunis,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Clear,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Clee,HEALTHCARE,,Unknown,"AI, Healthtech",2026.0,,Seed,Accelerator/Grant,,Switzerland,2026.0,Seed,,,Active,Venturekick
Cloover,B2B,,B2B,,2026.0,22.0M USD,Seed/Series A,VC Fund,MMC Ventures,Switzerland,2026.0,Series B,,,Active,Startupticker
Cohaga,B2B,,B2B,,2026.0,undisclosed,Million,VC Fund,KI nicht nur erkannt,Switzerland,2026.0,Early Stage,,,Active,Startupticker
CompPair,AI/ML,,Unknown,AI,2026.0,,Funding Round,Accelerator/Grant,,Switzerland,2026.0,Early Stage,,,Active,Venturekick
Continuing,B2B,,B2B,,2026.0,468.0M USD,,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Copresence,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Coteries,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Covalo,B2B,,B2B,,2026.0,5.0M,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
Dank,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Dario,B2B,,B2B,,2026.0,3.5M USD,,VC Fund,U.S,Switzerland,2026.0,Series A,,,Active,Startupticker
DeltaSpark,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
DeltaSpark,CLEANTECH,,Unknown,"Cleantech, AR/VR",2026.0,150.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Seed,,,Active,Venturekick
Demo,B2B,,B2B,AR/VR,2026.0,,Undisclosed,Accelerator/Grant,,Switzerland,2026.0,Early Stage,,,Active,Venturekick
Dental,INDUSTRIALS,,Unknown,Robotics,2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Dexterous,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Dexterous,HEALTHCARE,,B2B,"Biotech, IoT",2026.0,150.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Seed,,,Active,Venturekick
Digitalhealth,HEALTHCARE,,Unknown,,2026.0,220.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
DiploTools,AI/ML,,Unknown,AI,2026.0,150.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Seed,,,Active,Venturekick
Diplotools,B2B,,B2B,,2026.0,,,VC Fund,FIT,Switzerland,2026.0,Early Stage,,,Active,Startupticker
DistalMotion,B2B,,B2B,,2026.0,,Funding Round,Accelerator/Grant,,Switzerland,2026.0,Early Stage,,,Active,Venturekick
Divea,B2B,,B2B,,2026.0,,,VC Fund,Canada to Japan,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Doxomed,HEALTHCARE,,B2B,"SaaS, Healthtech, AR/VR",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Drei,B2B,,B2B,,2026.0,,,VC Fund,Lichtern,Switzerland,2026.0,Early Stage,,,Active,Startupticker
ENGIE,INDUSTRIALS,,Unknown,,2026.0,,,VC Fund,Switzerland impress juries at home,Switzerland,2026.0,Early Stage,,,Active,Startupticker
EPFL,B2B,,B2B,,2026.0,701.0M CHF,,VC Fund,Prof,Switzerland,2026.0,Series C+,,,Active,Startupticker
ETH,B2B,,B2B,,2026.0,10.0M CHF,,VC Fund,"UBS, ETH Zurich",Switzerland,2026.0,Series B,,,Active,Startupticker
EVis,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Ecorobotix,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Edtech,B2B,,B2B,,2026.0,5.0M USD,Seed/Series A,VC Fund,"Founderful, ETH Zurich",Switzerland,2026.0,Series A,,,Active,Startupticker
Eight,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,Switzerland,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Eleven,B2B,,B2B,,2026.0,,,VC Fund,Microsoft experts,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Embotechs,INDUSTRIALS,,Unknown,,2026.0,23.5M CHF,,VC Fund,,Switzerland,2026.0,Series B,,,Active,Startupticker
Emerald,B2B,,B2B,,2026.0,60.0M EUR,Seed/Series A,VC Fund,"Veralto Corporation, Ecolab, SKion Water",Switzerland,2026.0,Series C+,,,Active,Startupticker
Enerdrape,INDUSTRIALS,,Unknown,,2026.0,,,VC Fund,FIT,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Entrepreneurial,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Erfolgreicher,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Erfolgreicher,B2B,,B2B,,2026.0,,,VC Fund,Bee People,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Erfolgreiches,B2B,,B2B,,2026.0,,,VC Fund,Alpha Augmented Services,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Erste,B2B,,B2B,,2026.0,5.0M,Seed/Series A,VC Fund,Innen- und Aussenbereichen,Switzerland,2026.0,Series A,,,Active,Startupticker
European,B2B,,B2B,,2026.0,,,VC Fund,Rise Europe,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Executive,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Exeon,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
EyeFitU,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
FAB,B2B,,B2B,,2026.0,100.0M EUR,,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
FAIRTIQ,B2B,,B2B,,2026.0,131.0M,Seed/Series A,VC Fund,FAIRTIQ,Switzerland,2026.0,Series C+,,,Active,Startupticker
FIF,FINTECH,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
FIT,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Fainite,AI/ML,,Unknown,AI,2026.0,150.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Seed,,,Active,Venturekick
Femtech,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Fintech,FINTECH,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Fintech,FINTECH,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Fintech,FINTECH,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
First,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
First,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
First,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Five,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,Switzerland,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Five,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
FluidSolids,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
FluoSphera,HEALTHCARE,,Unknown,,2026.0,1.15M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
FluoSphera,HEALTHCARE,,B2B,"AI, SaaS, Healthtech",2026.0,1.15M CHF,Undisclosed,Accelerator/Grant,,Switzerland,2026.0,Series A,,,Active,Venturekick
Foldcast,CLEANTECH,,Unknown,"Cleantech, AR/VR",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Following,B2B,,B2B,,2026.0,2.0M EUR,Seed/Series A,VC Fund,"AENU, Deloitte",Switzerland,2026.0,Seed,,,Active,Startupticker
Four,FINTECH,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Four,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Four,B2B,,B2B,,2026.0,2.5M EUR,,VC Fund,EIT,Switzerland,2026.0,Seed,,,Active,Startupticker
Frigg,B2B,,B2B,,2026.0,760.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Frisches,FINTECH,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
From,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Fundraising,B2B,,B2B,,2026.0,300.0M EUR,Seed/Series A,VC Fund,Lendity to scale the business,Switzerland,2026.0,Series C+,,,Active,Startupticker
Further,B2B,,B2B,,2026.0,,,VC Fund,planning to increase their investments,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Future,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
GENILEM,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
GetYourGuide,B2B,,B2B,,2026.0,,,VC Fund,Touren,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Global,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Growth,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Growth,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Gründer,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
GuestReady,B2B,,B2B,,2026.0,100.0M USD,,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Guter,B2B,,B2B,,2026.0,,,VC Fund,Arcarius,Switzerland,2026.0,Early Stage,,,Active,Startupticker
H55,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
HSG,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Haelixa,B2B,,B2B,,2026.0,2.0M EUR,Seed/Series A,VC Fund,"Verve Ventures, ETH Zurich",Switzerland,2026.0,Seed,,,Active,Startupticker
Haelixa,B2B,,B2B,,2026.0,2.0M EUR,Undisclosed,Accelerator/Grant,,Switzerland,2026.0,Series A,,,Active,Venturekick
Hamilton,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Hausse,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Hemora,B2B,,B2B,,2026.0,,,VC Fund,Hemora,Switzerland,2026.0,Early Stage,,,Active,Startupticker
High,B2B,,B2B,,2026.0,1.5M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
Hybrid,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Hyperscale,B2B,,B2B,,2026.0,5.0M EUR,Seed/Series A,VC Fund,World Fund,Switzerland,2026.0,Series A,,,Active,Startupticker
Immitra,HEALTHCARE,,Unknown,"Biotech, IoT, Healthtech",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
InVirtuoLabs,HEALTHCARE,,Unknown,,2026.0,2.3M EUR,,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
InVirtuoLabs,B2B,,B2B,,2026.0,2.3M EUR,Seed/Series A,VC Fund,Italy,Switzerland,2026.0,Seed,,,Active,Startupticker
Infotel,B2B,,B2B,,2026.0,2.0M EUR,,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
InnoBooster,HEALTHCARE,,Unknown,,2026.0,1.1M CHF,,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
Innosuisse,B2B,,B2B,,2026.0,3.7M CHF,,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
Innosuisse,HEALTHCARE,,Unknown,,2026.0,5.7M CHF,,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
Innunity,HEALTHCARE,,Unknown,Healthtech,2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Inside,B2B,,B2B,,2026.0,,Undisclosed,Accelerator/Grant,,Switzerland,2026.0,Early Stage,,,Active,Venturekick
InstaHeat,B2B,,B2B,,2026.0,1.0M CHF,,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
IntelligencePlattform,B2B,,B2B,,2026.0,,,VC Fund,Delos kann als Sparring-Plattform dienen,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Investment,FINTECH,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Investments,B2B,,B2B,,2026.0,357.31M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Investor,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Japanese,B2B,,B2B,,2026.0,62.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Johnson,B2B,,B2B,,2026.0,150.0M USD,,VC Fund,Johnson & Johnson,Switzerland,2026.0,Series C+,,,Active,Startupticker
KAEX,B2B,,B2B,,2026.0,3.5M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
KITool,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Kandou,B2B,,B2B,,2026.0,225.0M USD,Seed/Series A,VC Fund,"Maverick Silicon, SoftBank Group Corp",Switzerland,2026.0,Series C+,,,Active,Startupticker
Kandou,AI/ML,,Unknown,AI,2026.0,225.0M USD,Undisclosed,Accelerator/Grant,,Switzerland,2026.0,Growth,,,Active,Venturekick
Kanton,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Kaspar,FINTECH,,Unknown,,2026.0,2.5M,,VC Fund,Liberty,Switzerland,2026.0,Seed,,,Active,Startupticker
Kickfund,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
LESS,HEALTHCARE,,Unknown,,2026.0,22.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active,Startupticker
LESS,AI/ML,,Unknown,AI,2026.0,22.0M USD,Series C,VC Fund,,Switzerland,2026.0,Series C,,,Active,Venturekick
Lancôme,HEALTHCARE,,Unknown,,2026.0,50.0M USD,,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Largo,B2B,,B2B,,2026.0,,,VC Fund,Sami Arpa,Switzerland,2026.0,Early Stage,,,Active,Startupticker
LatticeFlow,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
LeadiNNg,B2B,,B2B,,2026.0,,,VC Fund,Prof,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Leading,B2B,,B2B,,2026.0,9.7M CHF,,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
Life,INDUSTRIALS,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Limula,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Lobby,B2B,,B2B,,2026.0,2.2M USD,Seed/Series A,VC Fund,Founderful,Switzerland,2026.0,Seed,,,Active,Startupticker
Lobby,AI/ML,,Unknown,AI,2026.0,2.2M USD,Undisclosed,Accelerator/Grant,,Switzerland,2026.0,Series A,,,Active,Venturekick
Loxy,B2B,,B2B,,2026.0,,,VC Fund,Tracker,Switzerland,2026.0,Early Stage,,,Active,Startupticker
MESH,B2B,,B2B,,2026.0,3.8M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
MSCI,FINTECH,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Marco,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Massiv,B2B,,B2B,,2026.0,386.0M,,VC Fund,Climeworks ging,Switzerland,2026.0,Series C+,,,Active,Startupticker
Maus,INDUSTRIALS,,Unknown,"Mobility, Robotics",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
MedTech,HEALTHCARE,,Unknown,,2026.0,20.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active,Startupticker
MedTech,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Memo,HEALTHCARE,,Unknown,,2026.0,265.0M CHF,,VC Fund,MTx,Switzerland,2026.0,Series C+,,,Active,Startupticker
Metafuels,B2B,,B2B,,2026.0,9.0M USD,Seed/Series A,VC Fund,"UVC Partners, Borries",Switzerland,2026.0,Series A,,,Active,Startupticker
MigrosTestlauf,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Milestone,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Milestones,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Millionenfinanzierung,INDUSTRIALS,,Unknown,,2026.0,3.0M,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
Mobilezone,B2B,,B2B,,2026.0,100.0M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
MoleSense,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
More,B2B,,B2B,,2026.0,,,VC Fund,Switzerland,Switzerland,2026.0,Early Stage,,,Active,Startupticker
More,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
MyBikePlan,B2B,,B2B,,2026.0,,,VC Fund,MyBikePlan,Switzerland,2026.0,Early Stage,,,Active,Startupticker
NZZ,B2B,,B2B,,2026.0,,,VC Fund,Alumni,Switzerland,2026.0,Early Stage,,,Active,Startupticker
NanoZymeX,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,Boris Sevarika,Switzerland,2026.0,Early Stage,,,Active,Startupticker
NanoZymeX,HEALTHCARE,,B2B,"Biotech, IoT, AR/VR",2026.0,150.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Seed,,,Active,Venturekick
Neuron,FINTECH,,Unknown,,2026.0,81.0M EUR,,VC Fund,Fribourg-based legal tech startup Neur,Switzerland,2026.0,Series C+,,,Active,Startupticker
New,B2B,,B2B,,2026.0,18.0M EUR,Seed/Series A,VC Fund,Zurich,Switzerland,2026.0,Series B,,,Active,Startupticker
New,B2B,,B2B,,2026.0,,,VC Fund,Sigma Squared,Switzerland,2026.0,Early Stage,,,Active,Startupticker
New,B2B,,B2B,,2026.0,3.0M CHF,,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
New,B2B,,B2B,,2026.0,10.0M CHF,,VC Fund,,Switzerland,2026.0,Series B,,,Active,Startupticker
New,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
New,HEALTHCARE,,Unknown,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
New,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Nouvelle,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Nouvelle,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Novigenix,B2B,,B2B,,2026.0,1.8M EUR,,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
Nuncs,B2B,,B2B,,2026.0,2.15M USD,Undisclosed,Accelerator/Grant,,Switzerland,2026.0,Series A,,,Active,Venturekick
Nuventus,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
OOMNIUM,B2B,,B2B,,2026.0,,,VC Fund,KI nutzen und plant zudem,Switzerland,2026.0,Early Stage,,,Active,Startupticker
